"endpoint","s0_status","nf_status","s0_sig","nf_sig","s0_msg","nf_msg","changed"
"/api/alliances/my","200","200","object:alliance","object:alliance",,,"no"
"/api/alliance-trade/orders?page=1&limit=25","200","200","object:orders,pagination","object:orders,pagination",,,"no"
"/api/auth/me","200","200","object:planets,user","object:planets,user",,,"no"
"/api/command-center/fleet-templates","200","200","array-root","empty-object-or-empty-array",,,"yes"
"/api/fleet/camp-scout-reports?page=1&limit=20","200","200","object:reports","object:reports",,,"no"
"/api/fleet/expedition-reports?page=1&limit=20","200","200","object:reports,unreadCount","object:reports,unreadCount",,,"no"
"/api/fleet/mining-reports?page=1&limit=20","200","200","object:reports,unreadCount","object:reports,unreadCount",,,"no"
"/api/fleet/missions","200","200","object:maxFleetSlots,missions","object:maxFleetSlots,missions",,,"no"
"/api/fleet/pirate-camps","200","200","object:camps","object:camps",,,"no"
"/api/fleet/pirate-reports?page=1&limit=20","200","200","object:reports,unreadCount","object:reports,unreadCount",,,"no"
"/api/fleet/reports?page=1&limit=20","200","200","object:reports,unreadCount","object:reports,unreadCount",,,"no"
"/api/fleet/spy-reports?page=1&limit=20","200","200","object:reports,unreadCount","object:reports,unreadCount",,,"no"
"/api/fleet/survey-cooldowns","200","200","object:cooldowns","object:cooldowns",,,"no"
"/api/fleet/survey-reports","200","200","object:reports,restedStatus,unreadCount","object:reports,restedStatus,unreadCount",,,"no"
"/api/fleet/system-debris","200","200","object:debris","object:debris",,,"no"
"/api/fleet/system-debris?systemId={id}","200","200","object:debris","object:debris",,,"no"
"/api/fleet/wormhole-runs?page=1&limit=20","200","200","object:runs,unreadCount","object:runs,unreadCount",,,"no"
"/api/fleet/wormholes?page=1&limit=20","200","200","object:wormholes","object:wormholes",,,"no"
"/api/galaxy/arms","200","200","object:arms","object:arms",,,"no"
"/api/galaxy/arms/{id}/sectors","200","200","object:sectors","object:sectors",,,"no"
"/api/galaxy/field-index","200","200","object:systems","object:systems",,,"no"
"/api/galaxy/map","200","200","object:systems,userSystemIds","object:systems,userSystemIds",,,"no"
"/api/galaxy/sectors/{id}/systems","200","200","object:systems","object:systems",,,"no"
"/api/galaxy/systems/{id}/planets","200","200","object:asteroidFields,hasCivilization,included,moons,planetCount,planets,visibility","object:asteroidFields,hasCivilization,included,moons,planetCount,planets,visibility",,,"no"
"/api/market/hubs","200","200","object:hubs","object:hubs",,,"no"
"/api/market/my-balances","200","403","object:balances","object:code,error",,"Research Market Access to unlock trading","yes"
"/api/market/my-trades","200","403","array-root","object:code,error",,"Research Market Access to unlock trading","yes"
"/api/market/orders?page=1&limit=25","200","403","object:orders,pagination","object:code,error",,"Research Market Access to unlock trading","yes"
"/api/messages/system?page=1&limit=20","200","200","object:notifications","object:notifications",,,"no"
"/api/outposts","200","200","object:outposts,resourceSnapshots","object:outposts,resourceSnapshots",,,"no"
"/api/planets","200","200","object:planets","object:planets",,,"no"
"/api/planets/{id}","200","200","object:buildings,buildQueueCount,buildQueueMax,buildSpeedMult,deadSpaceShieldEnabled,planet,productionBreakdown,productionMultiplier,resourceSnapshot,serverNow,starterProductionMultiplier,systemInfo","object:buildings,buildQueueCount,buildQueueMax,buildSpeedMult,deadSpaceShieldEnabled,planet,productionBreakdown,productionMultiplier,resourceSnapshot,serverNow,starterProductionMultiplier,systemInfo",,,"no"
"/api/planets/{id}/fleet","200","200","object:cargoBonus,fleet,resources,resourceSnapshot,shuttleCargoBonus","object:cargoBonus,fleet,resources,resourceSnapshot,shuttleCargoBonus",,,"no"
"/api/planets/{id}/shipyard","200","200","object:maxQueueSize,orbitalQueue,orbitalQueueAll,orbitalQueueCount,orbitalShipScrapSpeedMult,orbitalShipSpeedMult,planetaryQueue,planetaryQueueAll,planetaryQueueCount,ships,shipScrapSpeedMult,shipSpeedMult","object:maxQueueSize,orbitalQueue,orbitalQueueAll,orbitalQueueCount,orbitalShipScrapSpeedMult,orbitalShipSpeedMult,planetaryQueue,planetaryQueueAll,planetaryQueueCount,ships,shipScrapSpeedMult,shipSpeedMult",,,"no"
"/api/players/{id}/profile","200","200","object:profile","object:profile",,,"no"
"/api/rankings/players?category=military&search=Uuuren","200","200","object:leaderboard,pagination","object:leaderboard,pagination",,,"no"
"/api/research","200","200","object:activeResearch,activeResearches,research,researchSpeedMult","object:activeResearch,activeResearches,research,researchSpeedMult",,,"no"
"/api/research?planetId={id}","200","200","object:activeResearch,activeResearches,research,researchSpeedMult","object:activeResearch,activeResearches,research,researchSpeedMult",,,"no"
"/api/stations/sector/{id}","200","200","object:stations","object:stations",,,"no"
