"endpoint","status","ok","message","topKeys"
"/api/alliances/my","200","True",,"alliance"
"/api/alliance-trade/orders?page=1&limit=25","200","True",,"orders,pagination"
"/api/auth/me","200","True",,"user,planets"
"/api/command-center/fleet-templates","200","True",,""
"/api/fleet/camp-scout-reports?page=1&limit=20","200","True",,"reports"
"/api/fleet/expedition-reports?page=1&limit=20","200","True",,"reports,unreadCount"
"/api/fleet/mining-reports?page=1&limit=20","200","True",,"reports,unreadCount"
"/api/fleet/missions","200","True",,"missions,maxFleetSlots"
"/api/fleet/pirate-camps","200","True",,"camps"
"/api/fleet/pirate-reports?page=1&limit=20","200","True",,"reports,unreadCount"
"/api/fleet/reports?page=1&limit=20","200","True",,"reports,unreadCount"
"/api/fleet/spy-reports?page=1&limit=20","200","True",,"reports,unreadCount"
"/api/fleet/survey-cooldowns","200","True",,"cooldowns"
"/api/fleet/survey-reports","200","True",,"reports,unreadCount,restedStatus"
"/api/fleet/system-debris","200","True",,"debris"
"/api/fleet/system-debris?systemId={systemId}","200","True",,"debris"
"/api/fleet/wormhole-runs?page=1&limit=20","200","True",,"runs,unreadCount"
"/api/fleet/wormholes?page=1&limit=20","200","True",,"wormholes"
"/api/galaxy/arms","200","True",,"arms"
"/api/galaxy/arms/{armId}/sectors","200","True",,"sectors"
"/api/galaxy/field-index","200","True",,"systems"
"/api/galaxy/map","200","True",,"systems,userSystemIds"
"/api/galaxy/sectors/{sectorId}/systems","200","True",,"systems"
"/api/galaxy/systems/{systemId}/planets","200","True",,"planets,asteroidFields,moons,visibility,included,planetCount,hasCivilization"
"/api/market/hubs","200","True",,"hubs"
"/api/market/my-balances","403","False","Research Market Access to unlock trading","error,code"
"/api/market/my-trades","403","False","Research Market Access to unlock trading","error,code"
"/api/market/orders?page=1&limit=25","403","False","Research Market Access to unlock trading","error,code"
"/api/messages/system?page=1&limit=20","200","True",,"notifications"
"/api/moons/{id}","200","True",,"moon,buildings,queue,allMoonDefs"
"/api/moons/{id}/fleet","403","False","Not your moon","error,code"
"/api/outposts","200","True",,"outposts,resourceSnapshots"
"/api/planets","200","True",,"planets"
"/api/planets/{planetId}","200","True",,"planet,serverNow,deadSpaceShieldEnabled,resourceSnapshot,systemInfo,productionBreakdown,productionMultiplier,starterProductionMultiplier,buildSpeedMult,buildQueueCount,buildQueueMax,buildings"
"/api/planets/{planetId}/fleet","200","True",,"fleet,cargoBonus,shuttleCargoBonus,resourceSnapshot,resources"
"/api/planets/{planetId}/shipyard","200","True",,"ships,shipSpeedMult,orbitalShipSpeedMult,shipScrapSpeedMult,orbitalShipScrapSpeedMult,planetaryQueue,orbitalQueue,planetaryQueueAll,orbitalQueueAll,planetaryQueueCount,orbitalQueueCount,maxQueueSize"
"/api/players/{userId}/profile","200","True",,"profile"
"/api/rankings/players?category=military&search=Uuuren","200","True",,"leaderboard,pagination"
"/api/research","200","True",,"research,researchSpeedMult,activeResearch,activeResearches"
"/api/research?planetId={planetId}","200","True",,"research,researchSpeedMult,activeResearch,activeResearches"
"/api/stations/sector/{sectorId}","200","True",,"stations"
