"endpoint","s0_status","nf_status","s0_ok","nf_ok","s0_keys","nf_keys","s0_message","nf_message","changed"
"/api/alliances/my","200","200","True","True","alliance","alliance",,,"no"
"/api/alliance-trade/orders?page=1&limit=25","200","200","True","True","orders,pagination","orders,pagination",,,"no"
"/api/auth/me","200","200","True","True","user,planets","user,planets",,,"no"
"/api/command-center/fleet-templates","200","200","True","True","0,1,2,3,4","",,,"yes"
"/api/fleet/camp-scout-reports?page=1&limit=20","200","200","True","True","reports","reports",,,"no"
"/api/fleet/expedition-reports?page=1&limit=20","200","200","True","True","reports,unreadCount","reports,unreadCount",,,"no"
"/api/fleet/mining-reports?page=1&limit=20","200","200","True","True","reports,unreadCount","reports,unreadCount",,,"no"
"/api/fleet/missions","200","200","True","True","missions,maxFleetSlots","missions,maxFleetSlots",,,"no"
"/api/fleet/pirate-camps","200","200","True","True","camps","camps",,,"no"
"/api/fleet/pirate-reports?page=1&limit=20","200","200","True","True","reports,unreadCount","reports,unreadCount",,,"no"
"/api/fleet/reports?page=1&limit=20","200","200","True","True","reports,unreadCount","reports,unreadCount",,,"no"
"/api/fleet/spy-reports?page=1&limit=20","200","200","True","True","reports,unreadCount","reports,unreadCount",,,"no"
"/api/fleet/survey-cooldowns","200","200","True","True","cooldowns","cooldowns",,,"no"
"/api/fleet/survey-reports","200","200","True","True","reports,unreadCount,restedStatus","reports,unreadCount,restedStatus",,,"no"
"/api/fleet/system-debris","200","200","True","True","debris","debris",,,"no"
"/api/fleet/system-debris?systemId=2831",,"200",,"True","","debris","",,"missing"
"/api/fleet/system-debris?systemId=80","200",,"True",,"debris","",,"","missing"
"/api/fleet/wormhole-runs?page=1&limit=20","200","200","True","True","runs,unreadCount","runs,unreadCount",,,"no"
"/api/fleet/wormholes?page=1&limit=20","200","200","True","True","wormholes","wormholes",,,"no"
"/api/galaxy/arms","200","200","True","True","arms","arms",,,"no"
"/api/galaxy/arms/1/sectors","200","200","True","True","sectors","sectors",,,"no"
"/api/galaxy/field-index","200","200","True","True","systems","systems",,,"no"
"/api/galaxy/map","200","200","True","True","systems,userSystemIds","systems,userSystemIds",,,"no"
"/api/galaxy/sectors/1/systems","200","200","True","True","systems","systems",,,"no"
"/api/galaxy/systems/2831/planets",,"200",,"True","","planets,asteroidFields,moons,visibility,included,planetCount,hasCivilization","",,"missing"
"/api/galaxy/systems/80/planets","200",,"True",,"planets,asteroidFields,moons,visibility,included,planetCount,hasCivilization","",,"","missing"
"/api/market/hubs","200","200","True","True","hubs","hubs",,,"no"
"/api/market/my-balances","200","403","True","False","balances","error,code",,"Research Market Access to unlock trading","yes"
"/api/market/my-trades","200","403","True","False","0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39","error,code",,"Research Market Access to unlock trading","yes"
"/api/market/orders?page=1&limit=25","200","403","True","False","orders,pagination","error,code",,"Research Market Access to unlock trading","yes"
"/api/messages/system?page=1&limit=20","200","200","True","True","notifications","notifications",,,"no"
"/api/outposts","200","200","True","True","outposts,resourceSnapshots","outposts,resourceSnapshots",,,"no"
"/api/planets","200","200","True","True","planets","planets",,,"no"
"/api/planets/1819",,"200",,"True","","planet,serverNow,deadSpaceShieldEnabled,resourceSnapshot,systemInfo,productionBreakdown,productionMultiplier,starterProductionMultiplier,buildSpeedMult,buildQueueCount,buildQueueMax,buildings","",,"missing"
"/api/planets/1819/fleet",,"200",,"True","","fleet,cargoBonus,shuttleCargoBonus,resourceSnapshot,resources","",,"missing"
"/api/planets/1819/shipyard",,"200",,"True","","ships,shipSpeedMult,orbitalShipSpeedMult,shipScrapSpeedMult,orbitalShipScrapSpeedMult,planetaryQueue,orbitalQueue,planetaryQueueAll,orbitalQueueAll,planetaryQueueCount,orbitalQueueCount,maxQueueSize","",,"missing"
"/api/planets/35572","200",,"True",,"planet,serverNow,deadSpaceShieldEnabled,resourceSnapshot,systemInfo,productionBreakdown,productionMultiplier,starterProductionMultiplier,buildSpeedMult,buildQueueCount,buildQueueMax,buildings","",,"","missing"
"/api/planets/35572/fleet","200",,"True",,"fleet,cargoBonus,shuttleCargoBonus,resourceSnapshot,resources","",,"","missing"
"/api/planets/35572/shipyard","200",,"True",,"ships,shipSpeedMult,orbitalShipSpeedMult,shipScrapSpeedMult,orbitalShipScrapSpeedMult,planetaryQueue,orbitalQueue,planetaryQueueAll,orbitalQueueAll,planetaryQueueCount,orbitalQueueCount,maxQueueSize","",,"","missing"
"/api/players/395/profile",,"200",,"True","","profile","",,"missing"
"/api/players/9696/profile","200",,"True",,"profile","",,"","missing"
"/api/rankings/players?category=military&search=Uuuren","200","200","True","True","leaderboard,pagination","leaderboard,pagination",,,"no"
"/api/research","200","200","True","True","research,researchSpeedMult,activeResearch,activeResearches","research,researchSpeedMult,activeResearch,activeResearches",,,"no"
"/api/research?planetId=1819",,"200",,"True","","research,researchSpeedMult,activeResearch,activeResearches","",,"missing"
"/api/research?planetId=35572","200",,"True",,"research,researchSpeedMult,activeResearch,activeResearches","",,"","missing"
"/api/stations/sector/1","200","200","True","True","stations","stations",,,"no"
